"Nf","NfSE","Nm","NmSE","Estimated_truth","Total_samples"
127,13,328,37,1000,316
163,18,341,40,1000,316
216,28,326,35,1000,316
201,24,337,38,1000,316
146,16,282,29,1000,316
215,28,390,45,1000,316
134,14,366,43,1000,316
187,21,368,44,1000,316
182,21,324,36,1000,316
201,23,407,49,1000,316
150,16,390,47,1000,316
245,31,417,53,1000,316
195,22,396,49,1000,316
157,20,310,32,1000,316
190,21,403,49,1000,316
162,16,390,48,1000,316
197,23,380,44,1000,316
174,19,323,36,1000,316
147,15,404,50,1000,316
150,15,372,44,1000,316
175,20,351,39,1000,316
144,16,372,44,1000,316
151,16,338,38,1000,316
174,19,320,35,1000,316
198,23,339,38,1000,316
205,25,365,43,1000,316
131,13,302,33,1000,316
213,26,357,42,1000,316
219,29,378,44,1000,316
379,65,290,29,1000,316
171,18,260,27,1000,316
142,15,314,35,1000,316
157,17,326,36,1000,316
168,18,345,40,1000,316
128,12,401,49,1000,316
174,20,355,41,1000,316
214,25,384,45,1000,316
142,16,318,34,1000,316
158,16,454,61,1000,316
156,16,329,38,1000,316
157,17,364,42,1000,316
193,21,381,47,1000,316
221,28,342,38,1000,316
204,24,336,37,1000,316
143,15,294,32,1000,316
221,27,325,36,1000,316
197,23,431,55,1000,316
201,24,357,41,1000,316
235,30,381,46,1000,316
211,26,388,46,1000,316
174,21,353,39,1000,316
171,18,286,31,1000,316
257,37,316,34,1000,316
202,24,330,37,1000,316
221,25,306,34,1000,316
146,15,377,45,1000,316
283,40,288,29,1000,316
229,29,274,28,1000,316
170,19,401,50,1000,316
121,12,418,51,1000,316
237,32,347,40,1000,316
211,27,308,34,1000,316
200,22,529,73,1000,316
228,30,330,36,1000,316
142,14,357,43,1000,316
161,17,361,42,1000,316
162,18,383,46,1000,316
179,22,304,32,1000,316
197,21,377,46,1000,316
166,18,378,46,1000,316
222,26,352,41,1000,316
144,15,464,62,1000,316
192,24,276,27,1000,316
150,15,302,32,1000,316
201,24,381,45,1000,316
147,15,402,51,1000,316
218,25,463,64,1000,316
283,39,351,41,1000,316
160,17,305,34,1000,316
194,25,355,39,1000,316
153,16,273,29,1000,316
155,18,388,46,1000,316
248,31,361,42,1000,316
214,26,387,46,1000,316
168,17,530,76,1000,316
261,35,415,52,1000,316
179,20,342,39,1000,316
240,33,510,69,1000,316
208,25,282,29,1000,316
195,24,328,36,1000,316
241,31,352,41,1000,316
161,18,340,37,1000,316
160,18,364,43,1000,316
218,26,493,67,1000,316
145,14,308,34,1000,316
211,27,467,59,1000,316
163,17,369,44,1000,316
256,34,363,41,1000,316
158,16,316,35,1000,316
215,28,348,39,1000,316
