"Nf","NfSE","Nm","NmSE"
23,7,46,15
71,41,63,22
11,3,76,29
32,13,54,17
26,13,109,44
8,2,96,43
NA,NA,NA,NA
NA,NA,NA,NA
9,3,133,54
30,12,109,48
25,17,66,21
19,7,123,61
20,6,146,73
22,13,151,75
23,9,54,18
24,10,134,77
36,21,47,15
19,9,76,25
30,12,73,26
27,11,75,28
34,17,135,60
42,19,44,14
3,1,87,31
29,12,90,34
6,2,108,44
10,5,59,18
77,44,128,64
22,6,161,93
21,14,107,44
29,10,92,34
22,7,60,20
50,25,193,111
27,13,336,237
59,34,122,54
NA,NA,NA,NA
19,8,276,159
19,6,89,31
8,2,74,28
22,8,75,30
32,13,139,69
NA,NA,NA,NA
28,12,158,79
NA,NA,NA,NA
17,6,306,216
24,8,97,36
21,6,165,82
25,11,73,27
32,13,141,70
19,4,237,167
35,15,113,46
26,10,72,24
15,5,95,36
31,15,85,32
NA,NA,NA,NA
31,12,221,127
16,7,102,38
43,21,128,57
13,4,101,50
127,89,111,49
11,5,74,26
17,6,78,29
23,11,64,21
35,15,91,34
20,7,96,43
21,7,117,48
21,7,120,53
22,8,99,37
11,4,86,32
NA,NA,NA,NA
6,2,298,210
NA,NA,NA,NA
31,10,86,43
26,9,77,31
49,24,88,39
17,5,62,21
NA,NA,NA,NA
NA,NA,NA,NA
18,6,162,93
NA,NA,NA,NA
NA,NA,NA,NA
15,5,73,26
78,55,93,38
NA,NA,NA,NA
21,8,219,126
30,12,118,53
8,3,56,17
79,56,49,15
21,7,47,13
NA,NA,NA,NA
9,2,150,75
32,13,102,45
33,15,107,48
59,29,150,75
22,7,140,70
21,7,88,36
14,6,76,27
NA,NA,NA,NA
20,6,142,63
102,72,64,22
9,3,76,31
25,9,138,69
11,5,116,47
49,28,103,36
13,5,132,65
28,14,64,23
NA,NA,NA,NA
23,9,55,20
19,7,178,102
NA,NA,NA,NA
51,29,104,42
14,6,87,33
22,7,50,16
54,24,75,30
23,9,106,47
23,7,128,64
8,2,66,27
15,5,90,34
10,3,219,126
16,5,127,57
41,29,193,96
41,17,75,28
22,8,43,11
18,6,149,74
30,12,367,260
14,5,29,9
39,22,73,24
16,5,202,116
74,43,118,59
18,7,239,119
18,7,92,37
41,20,166,83
NA,NA,NA,NA
18,7,62,25
102,58,100,45
35,20,139,57
9,3,157,78
NA,NA,NA,NA
17,7,83,29
54,31,157,78
54,24,43,16
27,13,95,42
36,18,114,46
NA,NA,NA,NA
34,12,129,64
22,9,163,81
34,15,126,56
19,6,278,197
NA,NA,NA,NA
54,31,44,13
31,14,72,29
47,27,135,60
22,8,45,17
16,4,266,187
26,9,116,47
29,13,93,33
5,2,110,49
27,12,166,83
19,5,380,268
23,8,108,54
22,7,109,44
NA,NA,NA,NA
17,8,322,227
16,7,96,39
36,18,82,36
69,48,109,48
19,7,70,25
45,26,102,41
36,16,414,292
23,10,83,29
19,8,93,35
34,15,77,31
NA,NA,NA,NA
31,22,191,95
41,20,194,112
25,9,96,39
41,14,338,238
6,3,92,34
32,16,90,37
31,11,88,39
NA,NA,NA,NA
NA,NA,NA,NA
15,4,63,23
4,1,93,41
46,20,63,21
45,20,76,24
16,5,84,29
38,13,95,42
71,41,81,30
20,7,202,116
23,9,72,24
8,2,77,34
34,15,50,15
42,19,74,25
53,26,177,88
16,6,108,40
17,6,219,126
21,8,41,11
17,6,79,30
63,36,49,16
17,5,103,42
17,5,41,13
23,9,75,28
29,16,102,41
23,7,91,40
15,6,172,86
NA,NA,NA,NA
18,6,52,16
11,4,111,45
95,67,228,131
32,16,82,31
10,4,176,88
21,9,100,38
15,4,155,77
45,20,78,32
67,38,189,109
NA,NA,NA,NA
17,7,88,31
10,4,101,38
42,21,74,26
13,5,114,51
34,13,91,45
103,59,116,52
32,13,76,27
16,5,185,107
NA,NA,NA,NA
15,6,220,127
69,48,134,60
20,9,74,28
NA,NA,NA,NA
12,4,90,32
52,30,86,30
39,17,81,28
16,5,200,100
NA,NA,NA,NA
28,20,59,19
36,16,61,19
52,26,163,81
20,6,137,61
22,7,57,19
67,30,272,192
NA,NA,NA,NA
34,12,68,24
50,22,33,11
24,9,200,115
NA,NA,NA,NA
