"Nf","NfSE","Nm","NmSE","Estimated_truth","Total_samples"
124,37,293,92,100,100
223,84,376,133,100,100
158,52,224,64,100,100
NA,NA,NA,NA,NA,NA
142,50,450,170,100,100
181,57,280,93,100,100
237,83,725,362,100,100
554,319,298,94,100,100
345,172,469,191,100,100
91,22,379,143,100,100
608,430,328,109,100,100
227,80,244,73,100,100
227,92,328,109,100,100
467,269,366,122,100,100
181,60,428,161,100,100
397,198,539,241,100,100
91,20,404,153,100,100
601,346,484,197,100,100
159,53,1567,1107,100,100
204,72,268,85,100,100
99,25,257,77,100,100
151,48,806,402,100,100
191,72,552,225,100,100
185,53,675,337,100,100
NA,NA,NA,NA,NA,NA
235,96,594,265,100,100
196,69,417,170,100,100
401,200,327,109,100,100
118,37,316,100,100,100
301,150,302,95,100,100
617,355,655,327,100,100
147,49,463,175,100,100
152,46,448,182,100,100
362,147,302,106,100,100
91,20,496,222,100,100
341,170,418,147,100,100
173,77,421,159,100,100
84,22,254,73,100,100
907,641,315,105,100,100
144,51,689,344,100,100
267,109,557,249,100,100
178,67,342,114,100,100
213,87,228,63,100,100
148,47,318,106,100,100
201,67,614,274,100,100
126,35,488,218,100,100
434,250,218,60,100,100
120,36,204,61,100,100
588,339,425,160,100,100
328,146,279,88,100,100
101,24,402,164,100,100
205,68,552,246,100,100
234,95,301,95,100,100
691,398,253,80,100,100
186,59,288,101,100,100
155,58,305,92,100,100
434,250,308,103,100,100
259,129,705,315,100,100
112,31,356,126,100,100
117,31,526,235,100,100
151,48,754,376,100,100
127,36,541,241,100,100
193,72,302,100,100,100
110,27,335,118,100,100
146,42,307,102,100,100
206,72,201,55,100,100
353,176,259,78,100,100
163,57,495,202,100,100
NA,NA,NA,NA,NA,NA
485,242,287,96,100,100
75,20,358,119,100,100
124,41,1067,615,100,100
108,36,357,119,100,100
120,32,417,170,100,100
396,198,393,148,100,100
255,113,237,68,100,100
122,35,337,119,100,100
111,31,1428,1009,100,100
107,34,814,407,100,100
NA,NA,NA,NA,NA,NA
121,31,253,80,100,100
298,148,237,65,100,100
86,24,682,305,100,100
795,561,595,266,100,100
99,25,367,130,100,100
168,63,784,392,100,100
766,541,913,526,100,100
199,99,404,134,100,100
181,60,519,212,100,100
146,42,170,45,100,100
359,179,501,204,100,100
183,64,348,123,100,100
346,173,219,61,100,100
94,25,361,136,100,100
375,167,268,89,100,100
498,249,413,156,100,100
125,41,495,202,100,100
268,109,340,113,100,100
219,89,444,167,100,100
175,53,385,145,100,100
